Date : 2025-12-01 15:27:38
Directory : /home/denis/vscode_projects/project-game-atlas/packages/backend
Total : 315 files,  15495 codes, 423 comments, 2773 blanks, all 18691 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/app/config/env/services                                                                                                                                                                                         |          1 |         10 |          0 |          2 |         12 |
| src/app/config/winston-logger                                                                                                                                                                                       |          2 |         28 |          0 |          4 |         32 |
| src/app/config/winston-logger (Files)                                                                                                                                                                               |          1 |         10 |          0 |          3 |         13 |
| src/app/config/winston-logger/config                                                                                                                                                                                |          1 |         18 |          0 |          1 |         19 |
| src/app/modules                                                                                                                                                                                                     |        270 |      6,812 |          3 |      1,487 |      8,302 |
| src/app/modules/analytics                                                                                                                                                                                           |         12 |        308 |          0 |         61 |        369 |
| src/app/modules/analytics (Files)                                                                                                                                                                                   |          1 |         26 |          0 |          2 |         28 |
| src/app/modules/analytics/controllers                                                                                                                                                                               |          1 |         20 |          0 |          2 |         22 |
| src/app/modules/analytics/controllers/analytics-read-controller                                                                                                                                                     |          1 |         20 |          0 |          2 |         22 |
| src/app/modules/analytics/dto                                                                                                                                                                                       |          7 |         42 |          0 |         11 |         53 |
| src/app/modules/analytics/dto (Files)                                                                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| src/app/modules/analytics/dto/request                                                                                                                                                                               |          2 |          0 |          0 |          2 |          2 |
| src/app/modules/analytics/dto/response                                                                                                                                                                              |          4 |         42 |          0 |          8 |         50 |
| src/app/modules/analytics/services                                                                                                                                                                                  |          3 |        220 |          0 |         46 |        266 |
| src/app/modules/analytics/services/heuristic-engine-service                                                                                                                                                         |          1 |         84 |          0 |         16 |        100 |
| src/app/modules/analytics/services/math-core                                                                                                                                                                        |          1 |         59 |          0 |         13 |         72 |
| src/app/modules/analytics/services/recommendation-curator                                                                                                                                                           |          1 |         77 |          0 |         17 |         94 |
| src/app/modules/auth                                                                                                                                                                                                |         44 |        909 |          3 |        191 |      1,103 |
| src/app/modules/auth (Files)                                                                                                                                                                                        |          1 |         57 |          0 |          1 |         58 |
| src/app/modules/auth/controllers                                                                                                                                                                                    |          3 |        126 |          0 |         21 |        147 |
| src/app/modules/auth/controllers/auth                                                                                                                                                                               |          1 |         78 |          0 |         12 |         90 |
| src/app/modules/auth/controllers/auth/auth-write-controller                                                                                                                                                         |          1 |         78 |          0 |         12 |         90 |
| src/app/modules/auth/controllers/user                                                                                                                                                                               |          2 |         48 |          0 |          9 |         57 |
| src/app/modules/auth/controllers/user/user-read-controller                                                                                                                                                          |          1 |         20 |          0 |          4 |         24 |
| src/app/modules/auth/controllers/user/user-write-controller                                                                                                                                                         |          1 |         28 |          0 |          5 |         33 |
| src/app/modules/auth/dto                                                                                                                                                                                            |         19 |        194 |          0 |         48 |        242 |
| src/app/modules/auth/dto (Files)                                                                                                                                                                                    |          1 |          2 |          0 |          2 |          4 |
| src/app/modules/auth/dto/request                                                                                                                                                                                    |         11 |        131 |          0 |         23 |        154 |
| src/app/modules/auth/dto/request (Files)                                                                                                                                                                            |          1 |          2 |          0 |          0 |          2 |
| src/app/modules/auth/dto/request/auth                                                                                                                                                                               |          3 |         31 |          0 |          4 |         35 |
| src/app/modules/auth/dto/request/jwt-token                                                                                                                                                                          |          1 |         13 |          0 |          2 |         15 |
| src/app/modules/auth/dto/request/otp                                                                                                                                                                                |          3 |         35 |          0 |          9 |         44 |
| src/app/modules/auth/dto/request/user                                                                                                                                                                               |          3 |         50 |          0 |          8 |         58 |
| src/app/modules/auth/dto/response                                                                                                                                                                                   |          7 |         61 |          0 |         23 |         84 |
| src/app/modules/auth/dto/response (Files)                                                                                                                                                                           |          1 |          3 |          0 |          2 |          5 |
| src/app/modules/auth/dto/response/jwt                                                                                                                                                                               |          2 |         10 |          0 |          4 |         14 |
| src/app/modules/auth/dto/response/otp                                                                                                                                                                               |          2 |         24 |          0 |          9 |         33 |
| src/app/modules/auth/dto/response/user                                                                                                                                                                              |          2 |         24 |          0 |          8 |         32 |
| src/app/modules/auth/guards                                                                                                                                                                                         |          2 |         32 |          0 |          5 |         37 |
| src/app/modules/auth/providers                                                                                                                                                                                      |          3 |         35 |          0 |          4 |         39 |
| src/app/modules/auth/providers/otp                                                                                                                                                                                  |          1 |         15 |          0 |          3 |         18 |
| src/app/modules/auth/providers/user                                                                                                                                                                                 |          2 |         20 |          0 |          1 |         21 |
| src/app/modules/auth/repositories                                                                                                                                                                                   |          8 |        158 |          0 |         32 |        190 |
| src/app/modules/auth/repositories/otp                                                                                                                                                                               |          4 |         75 |          0 |         19 |         94 |
| src/app/modules/auth/repositories/otp/abstracts                                                                                                                                                                     |          2 |         11 |          0 |          6 |         17 |
| src/app/modules/auth/repositories/otp/implementations                                                                                                                                                               |          2 |         64 |          0 |         13 |         77 |
| src/app/modules/auth/repositories/user                                                                                                                                                                              |          4 |         83 |          0 |         13 |         96 |
| src/app/modules/auth/repositories/user/abstracts                                                                                                                                                                    |          2 |         11 |          0 |          2 |         13 |
| src/app/modules/auth/repositories/user/implementations                                                                                                                                                              |          2 |         72 |          0 |         11 |         83 |
| src/app/modules/auth/services                                                                                                                                                                                       |          6 |        260 |          2 |         74 |        336 |
| src/app/modules/auth/services/auth                                                                                                                                                                                  |          2 |         92 |          2 |         24 |        118 |
| src/app/modules/auth/services/auth/auth-read-service                                                                                                                                                                |          1 |         24 |          0 |          5 |         29 |
| src/app/modules/auth/services/auth/auth-write-service                                                                                                                                                               |          1 |         68 |          2 |         19 |         89 |
| src/app/modules/auth/services/jwt-token                                                                                                                                                                             |          1 |         35 |          0 |          6 |         41 |
| src/app/modules/auth/services/otp                                                                                                                                                                                   |          1 |         48 |          0 |         19 |         67 |
| src/app/modules/auth/services/user                                                                                                                                                                                  |          2 |         85 |          0 |         25 |        110 |
| src/app/modules/auth/services/user/user-read-service                                                                                                                                                                |          1 |         26 |          0 |          8 |         34 |
| src/app/modules/auth/services/user/user-write-service                                                                                                                                                               |          1 |         59 |          0 |         17 |         76 |
| src/app/modules/auth/strategies                                                                                                                                                                                     |          2 |         47 |          1 |          6 |         54 |
| src/app/modules/game                                                                                                                                                                                                |        147 |      3,100 |          0 |        736 |      3,836 |
| src/app/modules/game (Files)                                                                                                                                                                                        |          1 |         78 |          0 |          2 |         80 |
| src/app/modules/game/controllers                                                                                                                                                                                    |          3 |        139 |          0 |         16 |        155 |
| src/app/modules/game/controllers/games                                                                                                                                                                              |          1 |         73 |          0 |          8 |         81 |
| src/app/modules/game/controllers/games/game-read-controller                                                                                                                                                         |          1 |         73 |          0 |          8 |         81 |
| src/app/modules/game/controllers/genres                                                                                                                                                                             |          1 |         27 |          0 |          4 |         31 |
| src/app/modules/game/controllers/genres/genres-read-controller                                                                                                                                                      |          1 |         27 |          0 |          4 |         31 |
| src/app/modules/game/controllers/keywords                                                                                                                                                                           |          1 |         39 |          0 |          4 |         43 |
| src/app/modules/game/controllers/keywords/keywords-read-controller                                                                                                                                                  |          1 |         39 |          0 |          4 |         43 |
| src/app/modules/game/dto                                                                                                                                                                                            |         55 |      1,209 |          0 |        286 |      1,495 |
| src/app/modules/game/dto (Files)                                                                                                                                                                                    |          1 |          2 |          0 |          2 |          4 |
| src/app/modules/game/dto/request                                                                                                                                                                                    |         39 |        883 |          0 |        200 |      1,083 |
| src/app/modules/game/dto/request (Files)                                                                                                                                                                            |          1 |         12 |          0 |          1 |         13 |
| src/app/modules/game/dto/request/company                                                                                                                                                                            |          3 |         77 |          0 |         17 |         94 |
| src/app/modules/game/dto/request/covers                                                                                                                                                                             |          3 |         91 |          0 |         15 |        106 |
| src/app/modules/game/dto/request/game                                                                                                                                                                               |          5 |        190 |          0 |         36 |        226 |
| src/app/modules/game/dto/request/game-company                                                                                                                                                                       |          3 |         76 |          0 |         19 |         95 |
| src/app/modules/game/dto/request/game-genre                                                                                                                                                                         |          3 |         44 |          0 |         13 |         57 |
| src/app/modules/game/dto/request/game-keyword                                                                                                                                                                       |          3 |         44 |          0 |         13 |         57 |
| src/app/modules/game/dto/request/game-platform                                                                                                                                                                      |          2 |         23 |          0 |          4 |         27 |
| src/app/modules/game/dto/request/genres                                                                                                                                                                             |          3 |         44 |          0 |         13 |         57 |
| src/app/modules/game/dto/request/keywords                                                                                                                                                                           |          4 |         83 |          0 |         20 |        103 |
| src/app/modules/game/dto/request/platform                                                                                                                                                                           |          3 |         74 |          0 |         19 |         93 |
| src/app/modules/game/dto/request/platform-type                                                                                                                                                                      |          3 |         34 |          0 |         11 |         45 |
| src/app/modules/game/dto/request/screenshots                                                                                                                                                                        |          3 |         91 |          0 |         19 |        110 |
| src/app/modules/game/dto/response                                                                                                                                                                                   |         15 |        324 |          0 |         84 |        408 |
| src/app/modules/game/dto/response (Files)                                                                                                                                                                           |          1 |          6 |          0 |          2 |          8 |
| src/app/modules/game/dto/response/company                                                                                                                                                                           |          2 |         36 |          0 |         12 |         48 |
| src/app/modules/game/dto/response/covers                                                                                                                                                                            |          2 |         40 |          0 |         12 |         52 |
| src/app/modules/game/dto/response/game                                                                                                                                                                              |          4 |        142 |          0 |         24 |        166 |
| src/app/modules/game/dto/response/genres                                                                                                                                                                            |          2 |         28 |          0 |         10 |         38 |
| src/app/modules/game/dto/response/keywords                                                                                                                                                                          |          2 |         32 |          0 |         11 |         43 |
| src/app/modules/game/dto/response/screenshots                                                                                                                                                                       |          2 |         40 |          0 |         13 |         53 |
| src/app/modules/game/providers                                                                                                                                                                                      |         16 |        190 |          0 |         37 |        227 |
| src/app/modules/game/providers (Files)                                                                                                                                                                              |          1 |          6 |          0 |          0 |          6 |
| src/app/modules/game/providers/companies                                                                                                                                                                            |          3 |         40 |          0 |          8 |         48 |
| src/app/modules/game/providers/covers                                                                                                                                                                               |          2 |         20 |          0 |          5 |         25 |
| src/app/modules/game/providers/games                                                                                                                                                                                |          2 |         22 |          0 |          5 |         27 |
| src/app/modules/game/providers/genres                                                                                                                                                                               |          3 |         40 |          0 |          6 |         46 |
| src/app/modules/game/providers/keywords                                                                                                                                                                             |          3 |         42 |          0 |          8 |         50 |
| src/app/modules/game/providers/screenshots                                                                                                                                                                          |          2 |         20 |          0 |          5 |         25 |
| src/app/modules/game/repositories                                                                                                                                                                                   |         48 |        660 |          0 |        175 |        835 |
| src/app/modules/game/repositories/companies                                                                                                                                                                         |         12 |        124 |          0 |         42 |        166 |
| src/app/modules/game/repositories/companies/company                                                                                                                                                                 |          6 |         63 |          0 |         21 |         84 |
| src/app/modules/game/repositories/companies/company/abstracts                                                                                                                                                       |          3 |         10 |          0 |          8 |         18 |
| src/app/modules/game/repositories/companies/company/implementations                                                                                                                                                 |          3 |         53 |          0 |         13 |         66 |
| src/app/modules/game/repositories/companies/game-company                                                                                                                                                            |          6 |         61 |          0 |         21 |         82 |
| src/app/modules/game/repositories/companies/game-company/abstracts                                                                                                                                                  |          3 |          9 |          0 |          8 |         17 |
| src/app/modules/game/repositories/companies/game-company/implementations                                                                                                                                            |          3 |         52 |          0 |         13 |         65 |
| src/app/modules/game/repositories/covers                                                                                                                                                                            |          4 |         58 |          0 |          9 |         67 |
| src/app/modules/game/repositories/covers/abstracts                                                                                                                                                                  |          2 |          8 |          0 |          2 |         10 |
| src/app/modules/game/repositories/covers/implementations                                                                                                                                                            |          2 |         50 |          0 |          7 |         57 |
| src/app/modules/game/repositories/games                                                                                                                                                                             |          4 |        131 |          0 |         19 |        150 |
| src/app/modules/game/repositories/games/abstracts                                                                                                                                                                   |          2 |         25 |          0 |          6 |         31 |
| src/app/modules/game/repositories/games/implementations                                                                                                                                                             |          2 |        106 |          0 |         13 |        119 |
| src/app/modules/game/repositories/genres                                                                                                                                                                            |         12 |        138 |          0 |         43 |        181 |
| src/app/modules/game/repositories/genres/game-genres                                                                                                                                                                |          6 |         63 |          0 |         21 |         84 |
| src/app/modules/game/repositories/genres/game-genres/abstracts                                                                                                                                                      |          3 |         10 |          0 |          8 |         18 |
| src/app/modules/game/repositories/genres/game-genres/implementations                                                                                                                                                |          3 |         53 |          0 |         13 |         66 |
| src/app/modules/game/repositories/genres/genres                                                                                                                                                                     |          6 |         75 |          0 |         22 |         97 |
| src/app/modules/game/repositories/genres/genres/abstracts                                                                                                                                                           |          3 |         12 |          0 |          8 |         20 |
| src/app/modules/game/repositories/genres/genres/implementations                                                                                                                                                     |          3 |         63 |          0 |         14 |         77 |
| src/app/modules/game/repositories/keywords                                                                                                                                                                          |         12 |        150 |          0 |         45 |        195 |
| src/app/modules/game/repositories/keywords/game-keywords                                                                                                                                                            |          6 |         58 |          0 |         21 |         79 |
| src/app/modules/game/repositories/keywords/game-keywords/abstracts                                                                                                                                                  |          3 |          8 |          0 |          8 |         16 |
| src/app/modules/game/repositories/keywords/game-keywords/implementations                                                                                                                                            |          3 |         50 |          0 |         13 |         63 |
| src/app/modules/game/repositories/keywords/keywords                                                                                                                                                                 |          6 |         92 |          0 |         24 |        116 |
| src/app/modules/game/repositories/keywords/keywords/abstracts                                                                                                                                                       |          3 |         16 |          0 |          8 |         24 |
| src/app/modules/game/repositories/keywords/keywords/implementations                                                                                                                                                 |          3 |         76 |          0 |         16 |         92 |
| src/app/modules/game/repositories/screenshots                                                                                                                                                                       |          4 |         59 |          0 |         17 |         76 |
| src/app/modules/game/repositories/screenshots/abstracts                                                                                                                                                             |          2 |          8 |          0 |          6 |         14 |
| src/app/modules/game/repositories/screenshots/implementations                                                                                                                                                       |          2 |         51 |          0 |         11 |         62 |
| src/app/modules/game/services                                                                                                                                                                                       |         20 |        696 |          0 |        199 |        895 |
| src/app/modules/game/services/companies                                                                                                                                                                             |          4 |        106 |          0 |         38 |        144 |
| src/app/modules/game/services/companies/company                                                                                                                                                                     |          2 |         53 |          0 |         19 |         72 |
| src/app/modules/game/services/companies/company/company-read-service                                                                                                                                                |          1 |         12 |          0 |          4 |         16 |
| src/app/modules/game/services/companies/company/company-write-service                                                                                                                                               |          1 |         41 |          0 |         15 |         56 |
| src/app/modules/game/services/companies/game-company                                                                                                                                                                |          2 |         53 |          0 |         19 |         72 |
| src/app/modules/game/services/companies/game-company/game-company-read-service                                                                                                                                      |          1 |         12 |          0 |          4 |         16 |
| src/app/modules/game/services/companies/game-company/game-company-write-service                                                                                                                                     |          1 |         41 |          0 |         15 |         56 |
| src/app/modules/game/services/covers                                                                                                                                                                                |          2 |         53 |          0 |         19 |         72 |
| src/app/modules/game/services/covers/covers-read-service                                                                                                                                                            |          1 |         12 |          0 |          4 |         16 |
| src/app/modules/game/services/covers/covers-write-service                                                                                                                                                           |          1 |         41 |          0 |         15 |         56 |
| src/app/modules/game/services/games                                                                                                                                                                                 |          3 |        224 |          0 |         40 |        264 |
| src/app/modules/game/services/games/game-map-service                                                                                                                                                                |          1 |        110 |          0 |          9 |        119 |
| src/app/modules/game/services/games/game-read-service                                                                                                                                                               |          1 |         79 |          0 |         18 |         97 |
| src/app/modules/game/services/games/game-write-service                                                                                                                                                              |          1 |         35 |          0 |         13 |         48 |
| src/app/modules/game/services/genres                                                                                                                                                                                |          4 |        110 |          0 |         39 |        149 |
| src/app/modules/game/services/genres/game-genres                                                                                                                                                                    |          2 |         53 |          0 |         19 |         72 |
| src/app/modules/game/services/genres/game-genres/game-genres-read-service                                                                                                                                           |          1 |         12 |          0 |          4 |         16 |
| src/app/modules/game/services/genres/game-genres/game-genres-write-service                                                                                                                                          |          1 |         41 |          0 |         15 |         56 |
| src/app/modules/game/services/genres/genres                                                                                                                                                                         |          2 |         57 |          0 |         20 |         77 |
| src/app/modules/game/services/genres/genres/genres-read-service                                                                                                                                                     |          1 |         16 |          0 |          5 |         21 |
| src/app/modules/game/services/genres/genres/genres-write-service                                                                                                                                                    |          1 |         41 |          0 |         15 |         56 |
| src/app/modules/game/services/keywords                                                                                                                                                                              |          5 |        150 |          0 |         44 |        194 |
| src/app/modules/game/services/keywords/game-keywords                                                                                                                                                                |          2 |         52 |          0 |         17 |         69 |
| src/app/modules/game/services/keywords/game-keywords/game-keywords-read-service                                                                                                                                     |          1 |         12 |          0 |          2 |         14 |
| src/app/modules/game/services/keywords/game-keywords/game-keywords-write-service                                                                                                                                    |          1 |         40 |          0 |         15 |         55 |
| src/app/modules/game/services/keywords/keywords                                                                                                                                                                     |          3 |         98 |          0 |         27 |        125 |
| src/app/modules/game/services/keywords/keywords/keywords-map-service                                                                                                                                                |          1 |         16 |          0 |          2 |         18 |
| src/app/modules/game/services/keywords/keywords/keywords-read-service                                                                                                                                               |          1 |         42 |          0 |         10 |         52 |
| src/app/modules/game/services/keywords/keywords/keywords-write-service                                                                                                                                              |          1 |         40 |          0 |         15 |         55 |
| src/app/modules/game/services/screenshots                                                                                                                                                                           |          2 |         53 |          0 |         19 |         72 |
| src/app/modules/game/services/screenshots/screenshots-read-service                                                                                                                                                  |          1 |         12 |          0 |          4 |         16 |
| src/app/modules/game/services/screenshots/screenshots-write-service                                                                                                                                                 |          1 |         41 |          0 |         15 |         56 |
| src/app/modules/game/types                                                                                                                                                                                          |          1 |         32 |          0 |          4 |         36 |
| src/app/modules/game/types/game                                                                                                                                                                                     |          1 |         32 |          0 |          4 |         36 |
| src/app/modules/game/utils                                                                                                                                                                                          |          3 |         96 |          0 |         17 |        113 |
| src/app/modules/personal-library                                                                                                                                                                                    |         40 |      1,279 |          0 |        236 |      1,515 |
| src/app/modules/personal-library (Files)                                                                                                                                                                            |          1 |         41 |          0 |          3 |         44 |
| src/app/modules/personal-library/controllers                                                                                                                                                                        |          4 |        196 |          0 |         34 |        230 |
| src/app/modules/personal-library/controllers/personal-library                                                                                                                                                       |          2 |         55 |          0 |         13 |         68 |
| src/app/modules/personal-library/controllers/personal-library-game                                                                                                                                                  |          2 |        141 |          0 |         21 |        162 |
| src/app/modules/personal-library/controllers/personal-library-game/personal-library-game-read-controller                                                                                                            |          1 |         80 |          0 |         11 |         91 |
| src/app/modules/personal-library/controllers/personal-library-game/personal-library-game-write-controller                                                                                                           |          1 |         61 |          0 |         10 |         71 |
| src/app/modules/personal-library/controllers/personal-library/personal-library-read-controller                                                                                                                      |          1 |         12 |          0 |          4 |         16 |
| src/app/modules/personal-library/controllers/personal-library/personal-library-write-controller                                                                                                                     |          1 |         43 |          0 |          9 |         52 |
| src/app/modules/personal-library/dto                                                                                                                                                                                |         14 |        274 |          0 |         59 |        333 |
| src/app/modules/personal-library/dto (Files)                                                                                                                                                                        |          1 |          2 |          0 |          2 |          4 |
| src/app/modules/personal-library/dto/request                                                                                                                                                                        |          6 |        149 |          0 |         31 |        180 |
| src/app/modules/personal-library/dto/request (Files)                                                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| src/app/modules/personal-library/dto/request/personal-library-game                                                                                                                                                  |          5 |        148 |          0 |         31 |        179 |
| src/app/modules/personal-library/dto/response                                                                                                                                                                       |          7 |        123 |          0 |         26 |        149 |
| src/app/modules/personal-library/dto/response (Files)                                                                                                                                                               |          1 |          2 |          0 |          2 |          4 |
| src/app/modules/personal-library/dto/response/personal-library                                                                                                                                                      |          2 |         24 |          0 |          9 |         33 |
| src/app/modules/personal-library/dto/response/personal-library-game                                                                                                                                                 |          4 |         97 |          0 |         15 |        112 |
| src/app/modules/personal-library/providers                                                                                                                                                                          |          5 |         36 |          0 |         10 |         46 |
| src/app/modules/personal-library/providers (Files)                                                                                                                                                                  |          1 |          2 |          0 |          0 |          2 |
| src/app/modules/personal-library/providers/personal-library                                                                                                                                                         |          2 |         16 |          0 |          5 |         21 |
| src/app/modules/personal-library/providers/personal-library-game                                                                                                                                                    |          2 |         18 |          0 |          5 |         23 |
| src/app/modules/personal-library/repositories                                                                                                                                                                       |          8 |        323 |          0 |         43 |        366 |
| src/app/modules/personal-library/repositories/personal-library                                                                                                                                                      |          4 |         66 |          0 |         16 |         82 |
| src/app/modules/personal-library/repositories/personal-library-game                                                                                                                                                 |          4 |        257 |          0 |         27 |        284 |
| src/app/modules/personal-library/repositories/personal-library-game/abstracts                                                                                                                                       |          2 |         27 |          0 |          4 |         31 |
| src/app/modules/personal-library/repositories/personal-library-game/implementations                                                                                                                                 |          2 |        230 |          0 |         23 |        253 |
| src/app/modules/personal-library/repositories/personal-library/abstracts                                                                                                                                            |          2 |          9 |          0 |          4 |         13 |
| src/app/modules/personal-library/repositories/personal-library/implementations                                                                                                                                      |          2 |         57 |          0 |         12 |         69 |
| src/app/modules/personal-library/services                                                                                                                                                                           |          5 |        269 |          0 |         70 |        339 |
| src/app/modules/personal-library/services/personal-library                                                                                                                                                          |          2 |         56 |          0 |         21 |         77 |
| src/app/modules/personal-library/services/personal-library-game                                                                                                                                                     |          3 |        213 |          0 |         49 |        262 |
| src/app/modules/personal-library/services/personal-library-game/personal-library-game-map-service                                                                                                                   |          1 |         41 |          0 |          6 |         47 |
| src/app/modules/personal-library/services/personal-library-game/personal-library-game-read-service                                                                                                                  |          1 |         69 |          0 |         18 |         87 |
| src/app/modules/personal-library/services/personal-library-game/personal-library-game-write-service                                                                                                                 |          1 |        103 |          0 |         25 |        128 |
| src/app/modules/personal-library/services/personal-library/personal-library-read-service                                                                                                                            |          1 |         15 |          0 |          5 |         20 |
| src/app/modules/personal-library/services/personal-library/personal-library-write-service                                                                                                                           |          1 |         41 |          0 |         16 |         57 |
| src/app/modules/personal-library/types                                                                                                                                                                              |          1 |         41 |          0 |          3 |         44 |
| src/app/modules/personal-library/types/personal-library-game                                                                                                                                                        |          1 |         41 |          0 |          3 |         44 |
| src/app/modules/personal-library/utils                                                                                                                                                                              |          2 |         99 |          0 |         14 |        113 |
| src/app/modules/prisma                                                                                                                                                                                              |          2 |         15 |          0 |          3 |         18 |
| src/app/modules/seeding                                                                                                                                                                                             |         21 |      1,089 |          0 |        236 |      1,325 |
| src/app/modules/seeding (Files)                                                                                                                                                                                     |          1 |         41 |          0 |          2 |         43 |
| src/app/modules/seeding/commands                                                                                                                                                                                    |          7 |        121 |          0 |         34 |        155 |
| src/app/modules/seeding/commands/companies                                                                                                                                                                          |          2 |         34 |          0 |          9 |         43 |
| src/app/modules/seeding/commands/covers                                                                                                                                                                             |          1 |         18 |          0 |          5 |         23 |
| src/app/modules/seeding/commands/games                                                                                                                                                                              |          1 |         19 |          0 |          5 |         24 |
| src/app/modules/seeding/commands/genres                                                                                                                                                                             |          1 |         16 |          0 |          5 |         21 |
| src/app/modules/seeding/commands/keywords                                                                                                                                                                           |          1 |         16 |          0 |          5 |         21 |
| src/app/modules/seeding/commands/screenshots                                                                                                                                                                        |          1 |         18 |          0 |          5 |         23 |
| src/app/modules/seeding/const                                                                                                                                                                                       |          1 |          4 |          0 |          0 |          4 |
| src/app/modules/seeding/seeders                                                                                                                                                                                     |         11 |        911 |          0 |        198 |      1,109 |
| src/app/modules/seeding/seeders/companies                                                                                                                                                                           |          3 |        225 |          0 |         51 |        276 |
| src/app/modules/seeding/seeders/companies (Files)                                                                                                                                                                   |          2 |        217 |          0 |         49 |        266 |
| src/app/modules/seeding/seeders/companies/types                                                                                                                                                                     |          1 |          8 |          0 |          2 |         10 |
| src/app/modules/seeding/seeders/covers                                                                                                                                                                              |          1 |        120 |          0 |         26 |        146 |
| src/app/modules/seeding/seeders/games                                                                                                                                                                               |          2 |        147 |          0 |         31 |        178 |
| src/app/modules/seeding/seeders/games (Files)                                                                                                                                                                       |          1 |        134 |          0 |         29 |        163 |
| src/app/modules/seeding/seeders/games/types                                                                                                                                                                         |          1 |         13 |          0 |          2 |         15 |
| src/app/modules/seeding/seeders/genres                                                                                                                                                                              |          2 |        147 |          0 |         31 |        178 |
| src/app/modules/seeding/seeders/keywords                                                                                                                                                                            |          2 |        152 |          0 |         33 |        185 |
